paperId,cleaned_lemmatized,sentiment
f9c602cc436a9ea2f9e7db48c77d924e09ce3c32,present fashionmnist new dataset comprising x grayscale image fashion product category image per category training set image test set image fashionmnist intended serve direct dropin replacement original mnist dataset benchmarking machine learning algorithm share image size data format structure training testing split dataset freely available http url,Neutral
4954fa180728932959997a4768411ff9136aac81,tensorflow machine learning system operates large scale heterogeneous environment tensorflow us dataflow graph represent computation shared state operation mutate state map node dataflow graph across many machine cluster within machine across multiple computational device including multicore cpu generalpurpose gpus customdesigned asics known tensor processing unit tpus architecture give flexibility application developer whereas previous parameter server design management shared state built system tensorflow enables developer experiment novel optimization training algorithm tensorflow support variety application focus training inference deep neural network several google service use tensorflow production released opensource project become widely used machine learning research paper describe tensorflow dataflow model demonstrate compelling performance tensorflow achieves several realworld application,Positive
9c9d7247f8c51ec5a02b0d911d1d7b9e8160495d,tensorflow interface expressing machine learning algorithm implementation executing algorithm computation expressed using tensorflow executed little change wide variety heterogeneous system ranging mobile device phone tablet largescale distributed system hundred machine thousand computational device gpu card system flexible used express wide variety algorithm including training inference algorithm deep neural network model used conducting research deploying machine learning system production across dozen area computer science field including speech recognition computer vision robotics information retrieval natural language processing geographic information extraction computational drug discovery paper describes tensorflow interface implementation interface built google tensorflow api reference implementation released opensource package apache license november available wwwtensorfloworg,Neutral
f9c990b1b5724e50e5632b94fdb7484ece8a6ce7,goal precipitation nowcasting predict future rainfall intensity local region relatively short period time previous study examined crucial challenging weather forecasting problem machine learning perspective paper formulate precipitation nowcasting spatiotemporal sequence forecasting problem input prediction target spatiotemporal sequence extending fully connected lstm fclstm convolutional structure inputtostate statetostate transition propose convolutional lstm convlstm use build endtoend trainable model precipitation nowcasting problem experiment show convlstm network capture spatiotemporal correlation better consistently outperforms fclstm stateoftheart operational rover algorithm precipitation nowcasting,Positive
597bd2e45427563cdf025e53a3239006aa364cfc,present open graph benchmark ogb diverse set challenging realistic benchmark datasets facilitate scalable robust reproducible graph machine learning ml research ogb datasets largescale million node billion edge encompass multiple important graph ml task cover diverse range domain ranging social information network biological network molecular graph source code asts knowledge graph dataset provide unified evaluation protocol using meaningful applicationspecific data split evaluation metric addition building datasets also perform extensive benchmark experiment dataset experiment suggest ogb datasets present significant challenge scalability largescale graph outofdistribution generalization realistic data split indicating fruitful opportunity future research finally ogb provides automated endtoend graph ml pipeline simplifies standardizes process graph data loading experimental setup model evaluation ogb regularly updated welcome input community ogb datasets well data loader evaluation script baseline code leaderboards publicly available http url,Negative
0090023afc66cd2741568599057f4e82b566137c,widespread use artificial intelligence ai system application everyday life accounting fairness gained significant importance designing engineering system ai system used many sensitive environment make important lifechanging decision thus crucial ensure decision reflect discriminatory behavior toward certain group population recently work developed traditional machine learning deep learning address challenge different subdomains commercialization system researcher becoming aware bias application contain attempting address survey investigated different realworld application shown bias various way listed different source bias affect ai application created taxonomy fairness definition machine learning researcher defined avoid existing bias ai system addition examined different domain subdomains ai showing researcher observed regard unfair outcome stateoftheart method way tried address still many future direction solution taken mitigate problem bias ai system hoping survey motivate researcher tackle issue near future observing existing work respective field,Positive
f0dcc9aa31dc9b31b836bcac1b140c8c94a2982d,quantitatively investigate machine learning model leak information individual data record trained focus basic membership inference attack given data record blackbox access model determine record model training dataset perform membership inference target model make adversarial use machine learning train inference model recognize difference target model prediction input trained versus input train empirically evaluate inference technique classification model trained commercial machine learning service provider google amazon using realistic datasets classification task including hospital discharge dataset whose membership sensitive privacy perspective show model vulnerable membership inference attack investigate factor influence leakage evaluate mitigation strategy,Neutral
168f28ac3c8c7ea63bf7ed25f2288e8b67e2fe74,scikitlearn python module integrating wide range stateoftheart machine learning algorithm mediumscale supervised unsupervised problem package focus bringing machine learning nonspecialists using generalpurpose highlevel language emphasis put ease use performance documentation api consistency minimal dependency distributed simplified bsd license encouraging use academic commercial setting source code binary documentation downloaded httpscikitlearnsourceforgenet,Positive
d422df8bff4e677a3077635db116679d25142bfc,machine learning address question build computer improve automatically experience one today rapidly growing technical field lying intersection computer science statistic core artificial intelligence data science recent progress machine learning driven development new learning algorithm theory ongoing explosion availability online data lowcost computation adoption dataintensive machinelearning method found throughout science technology commerce leading evidencebased decisionmaking across many walk life including health care manufacturing education financial modeling policing marketing,Positive
5c39e37022661f81f79e481240ed9b175dec6513,machine learning system become ubiquitous surge interest interpretable machine learning system provide explanation output explanation often used qualitatively assess criterion safety nondiscrimination however despite interest interpretability little consensus interpretable machine learning measured position paper first define interpretability describe interpretability needed next suggest taxonomy rigorous evaluation expose open question towards rigorous science interpretable machine learning,Neutral
807c1f19047f96083e13614f7ce20f2ac98c239a,publisher classifier system play major role machine learning knowledgebased system ross quinlans work id c widely acknowledged made significant contribution development book complete guide c system implemented c unix environment contains comprehensive guide system use source code line implementation note source code sample datasets also available inch floppy diskette sun workstation c start large set case belonging known class case described mixture nominal numeric property scrutinized pattern allow class reliably discriminated pattern expressed model form decision tree set ifthen rule used classify new case emphasis making model understandable well accurate system applied successfully task involving ten thousand case described hundred property book start simple core learning method show elaborated extended deal typical problem missing data hitting advantage disadvantage c approach discussed illustrated several case study book software interest developer classificationbased intelligent system student machine learning expert system course,Positive
